iter	Passed	Remaining
0	61	61457
1	119	5942822	177	5902533	251	6261144	297	5929155	354	5877166	404	5742677	460	5712588	518	5712799	576	57094110	640	57613111	704	57995112	754	57257113	813	57303114	869	57102115	922	56758116	985	56963117	1034	56448118	1094	56529119	1151	56416220	1203	56082221	1262	56123222	1313	55802223	1373	55839224	1428	55699225	1486	55705226	1549	55849227	1615	56083228	1682	56326229	1746	56478330	1813	56671331	1876	56777332	1941	5690033	2024	57533
34	2088	57574
35	2157	57779
36	2223	57862
37	2285	57859
38	2352	57966
39	2408	57810
40	2471	57818
41	2527	57644
42	2579	57400
43	2639	57355
44	2703	57377
45	2762	57284
46	2824	57261
47	2890	57334
48	2939	57053
49	3000	57013
50	3058	56905
51	3124	56969
52	3178	56789
53	3245	56864
54	3300	56708
55	3364	56713
56	3435	56828
57	3487	56643
58	3544	56527
59	3599	56398
60	3652	56217
61	3713	56188
62	3761	55945
63	3816	55822
64	3871	55688
65	3932	55656
66	3994	55628
67	4052	55543
68	4099	55317
69	4170	55404
70	4224	55277
71	4285	55237
72	4343	55154
73	4403	55106
74	4455	54952
75	4520	54963
76	4579	54896
77	4653	55006
78	4708	54898
79	4757	54715
80	4813	54609
81	4872	54547
82	4932	54490
83	4986	54378
84	5049	54356
85	5104	54245
86	5159	54149
87	5223	54132
88	5274	53987
89	5330	53896
90	5399	53933
91	5472	54015
92	5514	53780
93	5568	53670
94	5629	53624
95	5693	53614
96	5741	53446
97	5806	53440
98	5860	53331
99	5919	53274
100	5981	53244
101	6043	53210
102	6110	53216
103	6159	53066
104	6223	53051
105	6291	53058
106	6345	52958
107	6392	52801
108	6462	52829
109	6523	52778
110	6592	52802
111	6649	52720
112	6697	52570
113	6752	52478
114	6812	52429
115	6861	52287
1116	6848	51688117	6973	52127
118	7030	52051
119	7088	51983
120	7167	52067
121	7221	51969
122	7278	51895
123	7331	51790
124	7390	51731
125	7443	51630
126	7493	51513
127	7551	51445
128	7603	51335
129	7664	51292
130	7724	51241
131	7781	51168
132	7840	51110
133	7898	51048
134	7952	50954
135	8010	50887
136	8064	50801
137	8122	50734
138	8182	50682
139	8236	50594
140	8293	50525
141	8353	50472
142	8410	50404
143	8464	50318
144	8521	50249
145	8572	50146
146	8628	50065
147	8691	50032
148	8748	49964
149	8799	49865
150	8851	49769
151	8911	49714
152	8966	49637
153	9023	49571
154	9079	49500
155	9140	49454
156	9200	49400
157	9256	49329
158	9318	49290
159	9377	49232
160	9428	49135
161	9489	49089
162	9548	49028
163	9685	49374
164	9744	49314
165	9844	49458
166	9944	49603
167	9988	49468
168	10051	49426
169	10116	493931170	10177	493317171	10244	493117172	10311	492917173	10362	491917174	10428	491617175	10479	490617176	10552	49064
177	10617	49030
178	10671	489417179	10738	48921
180	10811	489118181	10887	489318182	10967	489618183	11017	488518184	11106	489318185	11190	4897186	11068	48122
187	11132	48084
188	11196	48043
189	11260	48004
190	11329	47988
19191	11599	4881192	11472	47969
19193	11728	487219194	11801	487219195	11862	486619196	11927	4861197	11796	47780
19198	12050	485019199	12106	484220200	12170	4837201	12031	47531
202	12095	47487
203	12155	47429
204	12215	47373
205	12273	47308
206	12339	47270
207	12399	47211
208	12457	47146
209	12522	47107
210	12579	47039
211	12642	46993
212	12697	46916
213	12758	46860
214	12820	46811
215	12882	46760
216	12950	46728
217	13017	46694
218	13076	46634
219	13133	46563
220	13189	46491
221	13245	46417
222	13308	46370
223	13365	46302
224	13421	46229
225	13487	46191
226	13546	46130
227	13610	46085
228	13661	45996
229	13713	45910
230	13773	45851
231	13839	45812
232	13905	45773
233	13949	45665
234	14009	45606
235	14074	45563
236	14143	45534
237	14202	45472
238	14252	45381
239	14310	45316
240	14376	45276
241	14443	45239
242	14501	45175
243	14556	45102
244	14614	45036
245	14677	44987
246	14734	44918
247	14796	44867
248	14842	44765
249	14899	44698
250	14965	44659
251	15028	44608
252	15078	44520
253	15148	44491
254	15207	44428
255	15266	44368
256	15334	44333
257	15389	44258
258	15455	44218
259	15510	44144
260	15563	44067
261	15620	43999
262	15685	43955
263	15747	43901
264	15806	43840
265	15864	43776
266	15929	43732
267	15988	43670
268	16062	43648
269	16120	43585
270	16183	43534
271	16228	43435
272	16294	43392
273	16358	43344
274	16418	43285
275	16470	43204
276	16531	43149
277	16588	43081
278	16649	43025
279	16707	42961
280	16765	42898
281	16834	42861
282	16882	42772
283	16946	42724
284	17001	42652
285	17056	42581
286	17119	42529
287	17180	42474
288	17254	42448
289	17326	42420
290	17395	42383
291	17450	42310
292	17516	42266
293	17578	42213
294	17633	42140
295	17692	42080
296	17752	42020
297	17812	41960
298	17877	41914
299	17935	41849
300	18000	41801
301	18054	41728
302	18112	41664
303	18173	41607
304	18230	41540
305	18289	41480
306	18352	41427
307	18418	41381
308	18467	41298
309	18528	41241
310	18586	41177
311	18649	41125
312	18712	41072
313	18772	41011
314	18830	40948
315	18894	40897
316	18948	40825
317	19010	40771
318	19077	40726
319	19140	40673
320	19206	40627
321	19256	40546
322	19326	40508
323	19376	40428
324	19436	40367
325	19510	40338
326	19562	40261
327	19628	40214
328	19680	40138
329	19739	40076
330	19796	40012
331	19854	39947
332	19912	39884
333	19982	39844
334	20036	39773
33335	20224	3996336	20166	39674
337	20245	39652
33338	20460	398933339	20533	398534340	20606	3982341	20526	39492
342	20585	39431
343	20638	39357
344	20697	39295
345	20756	39234
346	20816	39172
347	20872	39105
348	20929	39040
349	20994	38988
350	21052	38925
351	21106	38855
352	21169	38801
353	21226	38735
354	21281	38665
355	21336	38597
